batch_id,timestamp,source,category,price_pen,price_usd,price_date,rating,reviews,retailer,part_id,url,name
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,710.93,209.03,2026-07-23,49.0,,pcpartpicker_best,T47v6h,https://pcpartpicker.com/product/T47v6h/intel-core-i5-9400f-29-ghz-6-core-processor-bx80684i59400f,Intel Core i5-9400F  (49)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1401.22,411.99,2026-07-23,7.0,,pcpartpicker_best,2sstt6,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,Intel Core i9-12900KF  (7)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,595.16,174.99,2026-07-23,64.0,,pcpartpicker_best,X8snTW,https://pcpartpicker.com/product/X8snTW/intel-core-i5-10400-29-ghz-6-core-processor-bx8070110400,Intel Core i5-10400  (64)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,476.12,139.99,2026-07-23,6.0,,pcpartpicker_best,VcvD4D,https://pcpartpicker.com/product/VcvD4D/amd-ryzen-5-5500gt-36-ghz-6-core-processor-100-100001489box,AMD Ryzen 5 5500GT  (6)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1513.46,444.99,2026-07-23,443.0,,pcpartpicker_best,fPyH99,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,AMD Ryzen 7 9800X3D  (443)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1186.95,348.99,2026-07-23,662.0,,pcpartpicker_best,3hyH99,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,AMD Ryzen 7 7800X3D  (662)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,595.19,175.0,2026-07-23,133.0,,pcpartpicker_best,4r4Zxr,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,AMD Ryzen 5 9600X  (133)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,561.18,165.0,2026-07-23,351.0,,pcpartpicker_best,66C48d,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,AMD Ryzen 5 7600X  (351)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,302.66,88.99,2026-07-23,101.0,,pcpartpicker_best,yq2WGX,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,AMD Ryzen 5 5500  (101)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,2278.7,669.99,2026-07-23,75.0,,pcpartpicker_best,Pk62FT,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,AMD Ryzen 9 9950X3D  (75)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,954.31,280.59,2026-07-23,221.0,,pcpartpicker_best,WfqPxr,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,AMD Ryzen 7 7700X  (221)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,526.35,154.76,2026-07-23,195.0,,pcpartpicker_best,PgcG3C,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,AMD Ryzen 5 5600  (195)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,703.52,206.85,2026-07-23,727.0,,pcpartpicker_best,g94BD3,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,AMD Ryzen 5 5600X  (727)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1073.32,315.58,2026-07-23,121.0,,pcpartpicker_best,YMzXsY,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,AMD Ryzen 7 9700X  (121)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,741.44,218.0,2026-07-23,362.0,,pcpartpicker_best,qtvqqs,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,AMD Ryzen 7 5800X  (362)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,914.86,268.99,2026-07-23,51.0,,pcpartpicker_best,RVhv6h,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,AMD Ryzen 5 7600X3D  (51)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,593.76,174.58,2026-07-23,35.0,,pcpartpicker_best,ms4Zxr,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,AMD Ryzen 5 7500F  (35)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,860.44,252.99,2026-07-23,135.0,,pcpartpicker_best,JmhFf7,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,AMD Ryzen 7 5700X  (135)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1333.23,392.0,2026-07-23,51.0,,pcpartpicker_best,Z6GhP6,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,AMD Ryzen 9 9900X  (51)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,566.59,166.59,2026-07-23,106.0,,pcpartpicker_best,pQNxFT,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,Intel Core i5-12400F  (106)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,819.67,241.0,2026-07-23,1196.0,,pcpartpicker_best,9nm323,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,AMD Ryzen 5 3600  (1196)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,847.25,249.11,2026-07-23,204.0,,pcpartpicker_best,yXmmP6,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,AMD Ryzen 5 7600  (204)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1292.38,379.99,2026-07-23,128.0,,pcpartpicker_best,CZ3gXL,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,AMD Ryzen 7 5800X3D  (128)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,731.2,214.99,2026-07-23,4.0,,pcpartpicker_best,QkP8TW,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,Intel Core i5-14400F  (4)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1414.82,415.99,2026-07-23,50.0,,pcpartpicker_best,BmWJ7P,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,Intel Core i7-14700K  (50)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,489.72,143.99,2026-07-23,5.0,,pcpartpicker_best,9NFmP6,https://pcpartpicker.com/product/9NFmP6/amd-ryzen-7-5700-37-ghz-8-core-processor-100-000000743box,AMD Ryzen 7 5700  (5)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,913.77,268.67,2026-07-23,14.0,,pcpartpicker_best,fN88TW,https://pcpartpicker.com/product/fN88TW/amd-ryzen-7-5800xt-38-ghz-8-core-processor-100-100001582box,AMD Ryzen 7 5800XT  (14)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1768.57,520.0,2026-07-23,43.0,,pcpartpicker_best,ZLjRsY,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,Intel Core i9-14900K  (43)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1771.97,521.0,2026-07-23,12.0,,pcpartpicker_best,VHYRsY,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k,Intel Core Ultra 9 285K  (12)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1982.81,582.99,2026-07-23,26.0,,pcpartpicker_best,T6GhP6,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,AMD Ryzen 9 9950X  (26)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,642.81,189.0,2026-07-23,98.0,,pcpartpicker_best,Tk8bt6,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,Intel Core i5-12600KF  (98)
