batch_id,scraped_at,source,item_id,category,title,price_pen,original_price,discount_pct,seller,brand,condition,sold_quantity,available_qty,rating,reviews_count,url,fingerprint
20260710_155320,2026-07-10T15:56:34.913604+00:00,falabella,363e68c89763,RAM,Memoria ram ddr4 32gb 3600,0.0,0.0,0.0,,,new,0,0,0.0,0,,07be2ba9e58fa55d534c3d01696e2118
20260710_155320,2026-07-10T15:56:34.915306+00:00,falabella,8cb9738459f8,RAM,ValueRAM Memoria RAM DDR4 2400MHz 4GB C17 KVR24N17S64,0.0,0.0,0.0,,,new,0,0,0.0,0,,ec2efaf0146bd0a138ac9d6b68f5a3a7
20260710_155320,2026-07-10T15:56:34.917169+00:00,falabella,cc6f6978c3ad,RAM,Memoria ram ddr3 8gb 1600mhz LAPTOP,0.0,0.0,0.0,,,new,0,0,0.0,0,,f3ce98c80f8eae3b2b407bf37ceb9ea7
20260710_155320,2026-07-10T15:56:34.918958+00:00,falabella,1b512178f496,RAM,Memoria ram ddr4 8gb 3200mhz,0.0,0.0,0.0,,,new,0,0,0.0,0,,5c3d625b67c5f0a0edbd58ddc7fe4f90
20260710_155320,2026-07-10T15:56:34.920625+00:00,falabella,0671205f8268,RAM,Memoria RAM DE 4 GB modelo DDR4 2666,0.0,0.0,0.0,,,new,0,0,0.0,0,,ea26f6da06231ca7273f3b8bea63cd93
20260710_155320,2026-07-10T15:56:34.922313+00:00,falabella,2f0bad19f985,RAM,MEMORIA RAM PARA LAPTOP DDR4 16GB 3200,0.0,0.0,0.0,,,new,0,0,0.0,0,,d21792924c01cfdd3f22d23f46230a33
20260710_155320,2026-07-10T15:56:34.924416+00:00,falabella,d8bb5f642cc9,RAM,Memoria RAM Fury RGB 16GB DDR4 3000MHz C16 DIMM HX430C16FB4A16,0.0,0.0,0.0,,,new,0,0,0.0,0,,3d6d3bf4f455ef7fdf93ab41aa1ee824
20260710_155320,2026-07-10T15:56:34.926265+00:00,falabella,c702819fe923,RAM,Memoria Ram para Laptop KCP 16GB DDR4 3200Mhz SODIMM,0.0,0.0,0.0,,,new,0,0,0.0,0,,f173279883441ff83c673ae48ee44090
20260710_155320,2026-07-10T15:56:34.928442+00:00,falabella,2d76267fc48a,RAM,MEMORIA RAM LAPTOP DDR3 PC3L 1600MHZ 8GB,0.0,0.0,0.0,,,new,0,0,0.0,0,,804890d08e1eaa34222e6a1b6b375ca3
20260710_155320,2026-07-10T15:56:34.930914+00:00,falabella,0a9ab87dccd3,RAM,Celular Moto G06 4GB + 128GB,0.0,0.0,0.0,,,new,0,0,0.0,0,,16305954682ba4a86e6c8637abb58ddd
20260710_155320,2026-07-10T15:56:34.933133+00:00,falabella,980418125c40,RAM,MEMORIA RAM 4GB SODIMM 3200MHZ SKHYNX,0.0,0.0,0.0,,,new,0,0,0.0,0,,d89ec975acce9b86e9fafc47c1d34d82
20260710_155320,2026-07-10T15:56:34.934758+00:00,falabella,dc05c4c4acfa,RAM,MEMORIA RAM THINKSYSTEM 32GB TRUDDR5 5600MHZ,0.0,0.0,0.0,,,new,0,0,0.0,0,,5b06c56373ce1c493e30d0384b6f7a3c
20260710_155320,2026-07-10T15:56:34.936404+00:00,falabella,a79672e35dba,RAM,"Memoria RAM HyperX Fury Blue, 8GB, DDR3, 1600 MHz",0.0,0.0,0.0,,,new,0,0,0.0,0,,0c09c9641dfc80db3683ba241392272e
20260710_155320,2026-07-10T15:56:34.938569+00:00,falabella,663cf658cc80,RAM,Memoria Ram DDR4 4GB 2400MHZ Notebook,0.0,0.0,0.0,,,new,0,0,0.0,0,,7d3af1f140eb382f91efa81e3d681bce
20260710_155320,2026-07-10T15:56:34.940352+00:00,falabella,3f2016c7d993,RAM,Memoria RAM 8GB 3200MHz SODIMM KVR32S22S88,0.0,0.0,0.0,,,new,0,0,0.0,0,,17327a42c7d8bb26f7b1207b994cff7b
20260710_155320,2026-07-10T15:56:34.942107+00:00,falabella,6a40eca982b5,RAM,Radio Android 7 Con 2 GB De Memoria RAM Y 32 GB De Almacenamiento.,0.0,0.0,0.0,,,new,0,0,0.0,0,,2b5e2a9226b44eadb5ea9f753a5860f8
20260710_155320,2026-07-10T15:56:34.944313+00:00,falabella,aa2e14b4d3c6,RAM,Memoria Ram Ddr3 8gb PC3L -128001600,0.0,0.0,0.0,,,new,0,0,0.0,0,,ce91e95b12e06dbe9be5b8bea89c9f5f
20260710_155320,2026-07-10T15:56:34.945952+00:00,falabella,527c5c33500b,RAM,Memoria RAM 8GB Samsung DDR5 4800Mhz para laptop,0.0,0.0,0.0,,,new,0,0,0.0,0,,b18fae634512d60928f9980669ccfa79
