sku_local,source_local,title_local,model_key_local,price_local,category_local,sku_import,source_import,title_import,model_key_import,price_import,category_import,match_score,price_ratio,gap_usd,gap_pct,category
145370839,falabella_pe,Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,180HZ,558.63,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,1.7371416132844084,237.05,73.71416132844082,monitores
154525250,falabella_pe,Monitor 34 UltraGear G6 34G600A-B Curvo WQHD VA 2K 160Hz 1ms,160HZ,478.32,monitores,v1|396216743117|0,ebay_usa,Gaming Monitor 160hz Curved,160HZ,180.0,unknown,100.0,2.6573333333333333,298.32,165.73333333333332,monitores
154525272,falabella_pe,"Monitor 27 Gaming Odyssey G6 OLED QHD OLED 2K 240Hz 0,3ms Pivote",240HZ,873.68,monitores,v1|127976408943|0,ebay_usa,ASUS ProArt 27 inch UHD 4K 240Hz OLED Professional Computer Monitor PA27UCDMR,240HZ,1299.99,unknown,100.0,0.6720667082054477,-426.31000000000006,-32.793329179455235,monitores
154525272,falabella_pe,"Monitor 27 Gaming Odyssey G6 OLED QHD OLED 2K 240Hz 0,3ms Pivote",240HZ,873.68,monitores,v1|158103581409|0,ebay_usa,"🔥NEW🔥 SAMSUNG 27-Inch Odyssey QD-OLED G8 (G81SF), 4K, 240Hz, Gaming Monitor",240HZ,900.0,unknown,100.0,0.9707555555555555,-26.32000000000005,-2.92444444444445,monitores
154525272,falabella_pe,"Monitor 27 Gaming Odyssey G6 OLED QHD OLED 2K 240Hz 0,3ms Pivote",240HZ,873.68,monitores,v1|167622137426|0,ebay_usa,"GIGABYTE 27 inch UHD 4K 240Hz with AMD FreeSync Premium Pro &, G-SYNC Compatible",240HZ,1099.18,unknown,100.0,0.7948470678141887,-225.5000000000001,-20.51529321858113,monitores
145370839,falabella_pe,Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,180HZ,558.63,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,3.1921714285714287,383.63,219.21714285714287,monitores
145370839,falabella_pe,Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,180HZ,558.63,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,3.9904993213800983,418.64,299.0499321380098,monitores
145305486,falabella_pe,"Laptop ZBook Firefly 14 G8 I7 11va 16GB 1TB SSD 14"" Reacondicionada Garantía 1 año + Cooler","1TB SSD | 14""",880.76,laptops,v1|277574166311|0,ebay_usa,"Acer Aspire 14"" i9-288V Core Ultra 9 32GB 1TB SSD ARC 140V AI PC Refurbished","1TB SSD | 14""",650.99,unknown,100.0,1.3529547304874114,229.76999999999998,35.295473048741144,laptops
145305486,falabella_pe,"Laptop ZBook Firefly 14 G8 I7 11va 16GB 1TB SSD 14"" Reacondicionada Garantía 1 año + Cooler","1TB SSD | 14""",880.76,laptops,v1|257256961803|0,ebay_usa,"Acer Aspire Spin 14"" Laptop Touchscreen WUXGA IPS Core Ultra 7 16GB RAM 1TB SSD","1TB SSD | 14""",799.99,unknown,100.0,1.1009637620470256,80.76999999999998,10.096376204702556,laptops
144962845,falabella_pe,MONITOR GAMER ULTRAGEAR 24 24GS65F-B FULL HD PANEL IPS 180HZ 1MS,180HZ,264.75,monitores,v1|117317476039|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.512857142857143,89.75,51.28571428571429,monitores
145108669,falabella_pe,Monitor Gaming Odyssey G8 OLED 27” OLED 4K UHD 240hz 03ms,240HZ,1617.93,monitores,v1|158103581409|0,ebay_usa,"🔥NEW🔥 SAMSUNG 27-Inch Odyssey QD-OLED G8 (G81SF), 4K, 240Hz, Gaming Monitor",240HZ,900.0,unknown,100.0,1.7977,717.9300000000001,79.77000000000001,monitores
