sku_local,source_local,title_local,model_key_local,price_local,category_local,sku_import,source_import,title_import,model_key_import,price_import,category_import,match_score,price_ratio,gap_usd,gap_pct,category,price_import_real_opt,overhead_pct_opt,gap_pct_real_opt,conviene_local_opt,price_import_real_base,overhead_pct_base,gap_pct_real_base,conviene_local_base,price_import_real_cons,overhead_pct_cons,gap_pct_real_cons,conviene_local_cons,precio_venta_bruto,costo_operativo_usd,precio_venta_est,ganancia_unitaria_bruta,roi_unitario_pct,ganancia_esperada,roi_esperado_pct,demanda_cat,score_confianza,score_demanda,score_roi_ponderado,rank
137682078,falabella_pe,Motherboard PRIME B650M-A II Chipset AMD B650,B650M | B650,291.63,MOTHERBOARD,B0DKHV68LY,amazon_usa,"ASUS Prime B650M-A AX II AMD B650 AM5 Ryzen™ Desktop 9000 8000 & 7000 Micro-ATX mATX Motherboard, DDR5, PCIe 5.0 M.2, 2.5Gb LAN, Wi-Fi 6, DisplayPort, HDMI®, BIOS Flashback™ (Renewed)",B650M | B650,105.0,MOTHERBOARD,100.0,2.777428571428572,186.63,177.74285714285713,motherboard,143.04,36.2,103.880033557047,0,152.82,45.5,90.8323517864154,0,172.36,64.1,69.19818983522858,0,209.97,8.4,201.57,48.75,31.9,28.59,18.71,1.1,1.0,1.1,0.4403,919
150559461,falabella_pe,"Monitor Gaming Ultragear 24"" Full Hd Ips 180Hz, 1Ms, Freesync/G-Sync, Hdmi Y Displaypor","24"" | 180HZ",417.43,monitores,v1|157990840431|0,ebay_usa,"LG UltraGear 27GS75Q-B.AUS 27"" QHD Gaming Monitor 180Hz IPS HDR10 Black read","27"" | 180HZ",155.99,unknown,90.9090909090909,2.6760048721071863,261.44,167.60048721071863,monitores,206.68,32.5,101.96922779175536,0,218.29,39.9,91.22726648037016,0,243.7,56.2,71.2884694296266,0,300.55,12.02,288.53,70.24,32.18,41.39,18.96,1.2,0.9090909090909091,1.0909,0.4399,920
132291691,falabella_pe,Procesador Ryzen 7 7700X 4.5Ghz 32MB L3 Cache S-AM5 8 Nucleos,RYZEN 7 7700X,675.18,procesadores,3256811588349342,aliexpress,"New AMD Ryzen 7 7700 CPU , R7 7700, 3.8GHz,8-Core,16-Thread, 5NM, L3=32M,100-000000592 Socket AM5  but without Cooler",RYZEN 7 7700,235.05,CPU,96.0,2.8724952137843007,440.13,187.2495213784301,procesadores,305.34,29.9,121.12399292591864,0,369.8,57.3,82.57977285018927,0,414.32,76.3,62.96099633133808,0,486.13,19.45,466.68,96.88,26.2,50.21,13.58,1.3,0.96,1.248,0.4395,921
149531571,falabella_pe,"Monitor UltraGear G4 27G411A-B de 27 FHD IPS, 144 Hz, 1MS, G-SYNC",144 HZ,235.21,monitores,v1|137444554191|0,ebay_usa,Samsung Odyssey Gaming Monitor 27- Inch Black Curved 144 Hz,144 HZ,85.0,unknown,100.0,2.767176470588236,150.21,176.71764705882353,monitores,118.08,38.9,99.19546070460706,0,127.14,49.6,85.00078653452887,0,144.37,69.8,62.92165962457575,0,169.35,6.77,162.58,35.44,27.87,19.18,15.09,1.2,1.0,1.2,0.4386,922
148446877,falabella_pe,"Monitor UltraGear G4 27G411A-B de 27 FHD IPS, 144 Hz, 1MS, G-SYNC",144 HZ,235.04,monitores,v1|137444554191|0,ebay_usa,Samsung Odyssey Gaming Monitor 27- Inch Black Curved 144 Hz,144 HZ,85.0,unknown,100.0,2.765176470588236,150.04,176.5176470588235,monitores,118.08,38.9,99.05149051490515,0,127.14,49.6,84.86707566462167,0,144.37,69.8,62.80390662880099,0,169.23,6.77,162.46,35.32,27.78,19.07,15.0,1.2,1.0,1.2,0.4378,923
146321812,falabella_pe,"MONITOR 29U531A-W, 29"" IPS Ultrawide, WFHD 2560 x 1080, 100Hz, 5ms","29"" | 100HZ",558.0,monitores,v1|398110400452|0,ebay_usa,"Samsung 27"" Essential Monitor S3 S36GD FHD 100Hz 16:9 VA 1800R Curved Monitor","27"" | 100HZ",175.0,unknown,90.9090909090909,3.1885714285714286,383.0,218.8571428571429,monitores,230.4,31.7,142.1875,0,292.7,67.3,90.63887939870176,0,330.3,88.7,68.93732970027247,0,401.76,16.07,385.69,92.99,31.77,54.42,18.59,1.2,0.9090909090909091,1.0909,0.437,924
146047581,falabella_pe,"Motherboard B650 Gaming Plus Wifi Atx Para Amd, Ddr5 256Gb 7200Mhz, Alta Velocidad Y R",B650,294.08,MOTHERBOARD,B0C953W5VM,amazon_usa,"MSI PRO B650-P WiFi ProSeries Motherboard (AMD AM5, ATX, DDR5, PCIe 4.0, M.2, SATA 6Gb/s, USB 3.2 Gen 2, HDMI/DP, Wi-Fi 6E, AMD Ryzen 7000 Series Desktop Processors) (Renewed)",B650,106.44,MOTHERBOARD,100.0,2.762871101089816,187.64,176.28711010898158,motherboard,144.84,36.1,103.03783485225075,0,154.67,45.3,90.1338333225577,0,174.37,63.8,68.65286459826804,0,211.74,8.47,203.27,48.6,31.42,28.27,18.28,1.1,1.0,1.1,0.4369,925
145819088,falabella_pe,Motherboard B650M GAMING PLUS WIFI AMD B650 AMD AM5 mATX,B650M | B650,335.68,MOTHERBOARD,3256807958413167,aliexpress,PRO B650M MATX AMD B650 DDR5 6000+MHz M.2 SATA USB3.2 64G Double Channel DDR5 Ryzen 7000/8000/9000 Serie Socket AM5 Motherboard,B650M | B650,123.52,CPU,100.0,2.717616580310881,212.16000000000005,171.7616580310881,motherboard,166.15,34.5,102.03430634968402,0,176.6,43.0,90.079275198188,0,198.27,60.5,69.30448378473798,0,241.69,9.67,232.02,55.42,31.38,32.22,18.24,1.1,1.0,1.1,0.4366,926
137504215,falabella_pe,Monitor Ultrawide 34 Ips 100hz Freesync Negro 34WQ500-B,100HZ,765.09,monitores,v1|127956430385|0,ebay_usa,Samsung S27D368GAN 27IN S36SD 16:9 CURVED TAA 100HZ 1920X1080 HAS HDMI/DP 1YR,100HZ,270.38,unknown,100.0,2.8296841482358164,494.71,182.96841482358164,monitores,349.43,29.2,118.95372463726642,0,415.17,53.5,84.2835464990245,0,463.76,71.5,64.9754183198206,0,550.86,22.03,528.83,113.66,27.38,60.78,14.64,1.2,1.0,1.2,0.435,927
150202395,falabella_pe,Tuf Gaming B650M-Plus Wifi Placa Base Micro Atx Amd B650 Socket Am5 Con Conectividad,B650M | B650,326.46,MOTHERBOARD,B0C8RYXSQB,amazon_usa,"ASUS Prime B650M-A AX AMD B650(Ryzen 7000) Micro-ATX Motherboard(DDR5,PCIe 5.0 M.2,2.5Gb LAN,Wi-Fi 6, DP,USB 3.2 Gen 2 Ports,Front USB 3.2 Gen 1 Type-C®, BIOS Flashback™, CEC Tier II Ready) (Renewed)",B650M | B650,119.99,MOTHERBOARD,100.0,2.720726727227269,206.47,172.07267272272688,motherboard,161.75,34.8,101.82998454404944,0,172.07,43.4,89.72511187307491,0,193.33,61.1,68.86153209538092,0,235.05,9.4,225.65,53.58,31.14,31.02,18.03,1.1,1.0,1.1,0.435,928
121383031,falabella_pe,Monitor Gaming Odyssey G5 de 32 QHD 165Hz 1ms,165HZ,645.81,monitores,v1|158021209435|0,ebay_usa,AOC CQ32G3SE 32” Curved Gaming Monitor – 165Hz QHD (1440p),165HZ,220.0,unknown,100.0,2.9355,425.81,193.55,monitores,286.56,30.3,125.36641541038524,0,350.48,59.3,84.26443734307233,0,393.26,78.8,64.21960026445608,0,464.98,18.6,446.38,95.9,27.36,51.26,14.63,1.2,1.0,1.2,0.4349,929
154677500,falabella_pe,Tarjeta de Video DUAL RTX 5050 8GB GDDR6 PCIe 5.0 DUAL-RTX5050-O8G,RTX5050,587.08,tarjetas_video,B0DZ619GJ8,amazon_usa,ASUS RTX5070 PCIe 5.0 Video Card 12GB GDDR7 OC Edition PRIME-RTX5070-O12G,RTX5070,195.21,GPU,85.71428571428572,3.007427898160955,391.87,200.74278981609547,tarjetas_video,255.62,30.9,129.66903998122214,0,318.65,63.2,84.239761493802,0,358.58,83.7,63.72357632885272,0,422.7,16.91,405.79,87.14,27.35,46.56,14.61,1.4,0.8571428571428572,1.2,0.4348,930
139731551,falabella_pe,Computadora PC Gamer Core i5 12400F RAM 16GB SSD 1TB RTX 4060 8GB,RTX 4060 | 16GB SSD,1645.41,computadoras,v1|198418728953|0,ebay_usa,"Dell G3 G Series 15.6"" Gaming Laptop i5 9th Gen 8GB 256GB SSD  rtx 4060",RTX 4060 | 256GB SSD,560.55,unknown,92.3076923076923,2.935349210596736,1084.86,193.5349210596736,computadoras,711.57,26.9,131.2365614064674,0,787.75,40.5,108.87464297048555,0,869.76,55.2,89.17977373068435,0,1184.7,47.39,1137.31,349.56,44.37,235.83,29.94,0.8,0.923076923076923,0.7385,0.4322,931
155315825,falabella_pe,DISCO DURO 3.5P INTERNO 4TB SATA SERVIDOR 7200RPM P-N 400-BLLF,4TB SATA,352.25,discos_ssd,B07F8RHZXM,amazon_usa,"Addlink S20 1TB SATA III SSD 2.5 Inch Internal Solid State Drive 3D NAND with SLC Caching, Up to 500MB/s, HDD Replacement Upgrade for Laptop, Desktop PC, PS4 (ad1TBS20S3S)",1TB SATA,136.44,SSD,87.5,2.5817209029610084,215.81,158.17209029610086,discos_ssd,182.28,33.6,93.24665350010972,0,193.19,41.6,82.33345411253171,0,216.35,58.6,62.81488329096372,0,253.62,10.14,243.48,50.29,26.03,25.94,13.43,1.4,0.875,1.225,0.4322,932
155177230,falabella_pe,"Tarjeta Madre Z790 D Para Procesadores Intel Lga1700, Soporte Ddr5, Ranura Pcie 5",Z790 | LGA1700,285.25,MOTHERBOARD,B0BJYYFP3X,amazon_usa,"ASRock Z790 PG Sonic LGA1700 Motherboard, Intel 14th/13th/12th Gen Support, DDR5 7200+ OC, PCIe 5.0, Killer 2.5G LAN, Sonic Themed Design, 14+1+1 Power Phase",Z790 | LGA1700,103.49,MOTHERBOARD,100.0,2.756304957000677,181.76,175.63049570006763,motherboard,141.16,36.4,102.07565882686312,0,150.88,45.8,89.05752916224814,0,170.24,64.5,67.55756578947367,0,205.38,8.22,197.16,46.28,30.67,26.56,17.6,1.1,1.0,1.1,0.4316,933
137224844,falabella_pe,Procesador Ryzen 5 7600X 4.7/5.3GHz 32MB L3 6-Core AM5 5nm 105W,RYZEN 5 7600X | 105W,352.13,procesadores,v1|137381797638|0,ebay_usa,AMD Ryzen 5 7600X AM5 CPU Processor 4.7 GHz 6 core 12 threads 32MB 105W R5 7600x,RYZEN 5 7600X | 105W,140.0,unknown,100.0,2.515214285714286,212.13,151.52142857142857,procesadores,186.72,33.4,88.58718937446443,0,197.76,41.3,78.05926375404532,0,221.33,58.1,59.09727556137893,0,253.53,10.14,243.39,45.63,23.07,21.29,10.77,1.3,1.0,1.3,0.4313,934
155529987,falabella_pe,Procesador Ryzen 7 7700X 8 Nacleos 5.4GHz AM5,RYZEN 7 7700X,528.59,procesadores,v1|406738779517|676977004103,ebay_usa,AMD RYZEN 7 7700 7700X 7800X3D 8700F 8700G 9700X 9800X3D Socket AM5 CPU,RYZEN 7 7700,175.0,unknown,96.0,3.020514285714286,353.59000000000003,202.0514285714286,procesadores,230.4,31.7,129.42274305555557,0,292.7,67.3,80.59104885548345,0,330.3,88.7,60.033303057826224,0,380.58,15.22,365.36,72.66,24.82,36.12,12.34,1.3,0.96,1.248,0.4297,935
141020614,falabella_pe,"Procesador Ryzen 5 9600X 3.90 / 5.40 GHz, 32MB L3 Cache, 6-Cores",RYZEN 5 9600X,363.0,procesadores,v1|127132029628|428244809810,ebay_usa,AMD RYZEN 5 9600X 8600G 8500G 8400F 7600X 7500F 7400F Socket AM5 Zen4 CPU,RYZEN 5 9600X,145.2,unknown,100.0,2.5,217.8,150.00000000000003,procesadores,193.21,33.1,87.878474199058,0,204.44,40.8,77.55820778712581,0,228.6,57.4,58.79265091863517,0,261.36,10.45,250.91,46.47,22.73,21.38,10.46,1.3,1.0,1.3,0.4288,936
152106165,falabella_pe,TARJETA DE VIDEO RTX 5060 DUAL ( DUAL-RTX5060-O8G ) 8GB GDDR7 - DLSS4 - X2 FANES - X3 DP 1 HDMI,RTX5060,582.97,GPU,B0DZ619GJ8,amazon_usa,ASUS RTX5070 PCIe 5.0 Video Card 12GB GDDR7 OC Edition PRIME-RTX5070-O12G,RTX5070,195.21,GPU,85.71428571428572,2.986373648890938,387.76,198.6373648890938,gpu,255.62,30.9,128.06118457084736,0,318.65,63.2,82.94994508080968,0,358.58,83.7,62.577388588320616,0,419.74,16.79,402.95,84.3,26.46,44.01,13.81,1.4,0.8571428571428572,1.2,0.4285,937
