sku,producto,marca,categoria,r_j,label_pred,p_vigente,p_en_riesgo,p_obsoleto,rank_obsolescencia
10057317,"Placa madre Asrock Z890 PRO-A LGA1851, DDR5, ATX",Asrock,MOTHERBOARD,0.0013,VIGENTE,0.9982,0.0009,0.0009,56
10051504,Unidad de estado sólido SSD Kingston NV3 2000GB M.2 PCIE4.0 NVME,Kingston,SSD,0.0013,VIGENTE,0.9983,0.0009,0.0008,57
10042119,"Fuente de poder Teros TE-7175W 750W, 80 Plus Gold, F. modular",Teros,PSU,0.0013,VIGENTE,0.9981,0.0011,0.0008,58
10041907,Fuente de poder Seasonic Vertex GX-1200W 80Plus Gold Modular PCIE5.0,Seasonic,PSU,0.0013,VIGENTE,0.9983,0.0009,0.0008,59
10051503,Unidad de estado sólido SSD Kingston NV3 1000GB M.2 PCIE4.0 NVME,Kingston,SSD,0.0013,VIGENTE,0.9982,0.0009,0.0009,60
10041867,"Gabinete Antryx RX-450, ATX/Full ATX/Micro ATX, ventilador ARGB/cinta LED, Panel lateral vidrio templado, sin fuente, negro",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0007,61
10042971,"Gabinete Antryx Xtreme Slim Micro ATX/Mini-ITX, con fuente 300W",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0007,62
10047309,"Gabinete Antryx Xtreme NC-253 Black, incluye una barra lateral ARGB, panel lateral de vidrio templado, con fuente B500w",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0008,63
10047315,"Gabinete Antryx RX-430U Black USB 3.0, incluye 1 ventiladores ARGB, barra de luz ARGB, panel lateral de vidrio templado, sin fuente",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0008,64
10047310,"Gabinete Antryx RX-460 white, incluye 2 ventiladores ARGB, panel lateral de vidrio templado, sin fuente",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0008,65
10051009,"Gabinete Antryx Xtreme Slim XS-120 MATX USB 3.0, panel con proceso de estampado, con fuente 350W",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0008,66
10047314,"Gabinete Antryx RX-460 Mesh Black USB 3.0, incluye 2 ventiladores ARGB, panel lateral de vidrio templado, sin fuente",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0008,67
10051007,"Gabinete Antryx RX-260 WHITE, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0008,68
10041869,"Gabinete Antryx FX730 ARGB, ATX/M-ATX/ITX, 4 ventiladores, Panel lateral vidrio templado, sin fuente, blanco",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0008,69
10047308,"Gabinete Antryx Xtreme Neo II Black, incluye 2 ventiladores Chrome Storm, panel lateral de vidrio templado, con fuente B500w",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0007,70
10041873,"Gabinete Cooler Master Masterbox MB520 Mesh, Mini-ITX / Micro-ATX /ATX/SSI CEB, Panel lateral vidrio templado, sin fuente, blanco",Cooler Master,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0007,71
10047313,"Gabinete Antryx Elegant 650 Black, incluye USB 3.0, panel frontal con malla metálica, con fuente 350w",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0007,72
10041874,"Gabinete Antryx XM-330 Xtreme, ITX/Micro ATX, Panel lateral vidrio templado, con fuente 500W",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0007,73
10041872,"Gabinete Cooler Master HAF 700 EVO ARGB, Mini-ITX / Micro-ATX /ATX/SSI CEB/SSI EEB/E-ATX, Panel lateral vidrio templado, sin fuente, negro",Cooler Master,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0007,74
10051008,"Gabinete Antryx RX-270, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,0.0012,VIGENTE,0.9984,0.0009,0.0007,75
10051023,"Cooler procesador Antryx Mirage 310N, fan 92mm",Antryx,COOLER,0.0012,VIGENTE,0.9983,0.001,0.0007,76
10051026,"Cooler procesador Antryx Mirage 550 Plus, ARGB, fan 130mm x2",Antryx,COOLER,0.0012,VIGENTE,0.9983,0.001,0.0007,77
10051025,"Cooler procesador Antryx Mirage 530, ARGB, fan 130mm",Antryx,COOLER,0.0012,VIGENTE,0.9983,0.001,0.0007,78
10047321,"Fuente de poder Antryx Kirin Gold Evo II 1000W, 80 Plus Gold, modular ATV3.0, Pcie 5.0",Antryx,PSU,0.0012,VIGENTE,0.9983,0.0009,0.0008,79
10041877,"Sistema de enfriamiento líquido Triton Infinity 360, negro",Antryx,COOLER,0.0012,VIGENTE,0.9983,0.001,0.0007,80
4985,"Unidad de estado sólido SSD Kingston SSD A400 960GB de capacidad, 2.5"", SATA3",Kingston,SSD,0.0012,VIGENTE,0.9983,0.0009,0.0008,81
10047312,"Gabinete Antryx Xtreme NC-257 Black, 1 ventilador ARGB, barra lateral ARGB, panel lateral de vidrio templado, con fuente B500w",Antryx,CASE,0.0012,VIGENTE,0.9983,0.0009,0.0007,82
